"File","Type","Name"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\003_core_rpcs_rls_audit_scoring.sql","function","revoke_event_access_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\003_core_rpcs_rls_audit_scoring.sql","function","update_event_config_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\003_core_rpcs_rls_audit_scoring.sql","function","update_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\003_core_rpcs_rls_audit_scoring.sql","function","update_match_set_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\003_core_rpcs_rls_audit_scoring.sql","policy","match_sets_select_scoped on match_sets"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","alter_table","event_knockout_selections"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","drop","policy:event_knockout_selections_no_direct_write"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","drop","policy:event_knockout_selections_select_scoped"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","archive_team_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","assign_team_to_group_v2"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","confirm_knockout_teams_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","create_team_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","dissolve_groups_v4"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","generate_knockout_bracket_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","generate_schedule_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","import_teams_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","p06_group_label"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","p06_require_event_admin_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","prepare_knockout_candidates_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","setup_groups_v4"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","function","update_team_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","index","event_knockout_selections_event_seed_active_idx"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","index","event_knockout_selections_event_team_active_idx"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","policy","event_knockout_selections_select_scoped on event_knockout_selections"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\004_team_group_schedule_knockout_rpcs.sql","table","event_knockout_selections"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","alter_table","events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","alter_table","public"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","alter_table","tournament"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","function","get_workspace_context_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_events_tournament_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_groups_event_id_partial"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_match_sets_event_id_partial"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_matches_event_id_partial"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_teams_event_id_partial"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_tournament_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\005_context_scope_hardening.sql","index","idx_tournament_tenant_slug"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","alter_table","tenants"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\006_tenant_management_rpcs.sql","function","archive_tenant_v1"
