"File","Type","Name"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","index","idx_login_logs_account"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","index","idx_login_logs_created_at"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","index","idx_tenants_slug"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","account_event_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","account_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","accounts"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","active_sessions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","login_logs"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","roles"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","table","tenants"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","trigger","update_accounts_modtime"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","trigger","update_roles_modtime"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_ACCOUNT_SQL_v2.sql","trigger","update_tenants_modtime"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","account_event_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","account_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","accounts"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","active_sessions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","login_logs"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","alter_table","tournament"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","drop","policy:if"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","function","get_auth_account_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","function","get_auth_account_role"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","function","get_auth_account_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","accounts_isolation on accounts"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","acctevtperms_isolation on account_event_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","acctperms_isolation on account_permissions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","activesessions_isolation on active_sessions"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","groups_isolation on groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","loginlogs_isolation on login_logs"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","matches_isolation on matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","teams_isolation on teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\ENTERPRISE_RLS_FINAL.sql","policy","tournament_isolation on tournament"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","alter_table","events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","alter_table","groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","alter_table","matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","alter_table","teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","drop","policy:if"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","drop","trigger:trg_audit_matches_v4"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","drop","trigger:trg_auto_assign_event_after_insert"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","audit_matches_changes_v4"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","current_account_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","current_role_name"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","current_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","has_event_access"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","has_permission"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","function","trigger_auto_assign_event"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_account_event_perms_account_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_account_event_perms_event_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_events_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_groups_event_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_groups_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_matches_event_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_matches_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_teams_event_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","index","idx_teams_tenant_id"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","events_delete on events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","events_insert on events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","events_select on events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","events_update on events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","groups_delete on groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","groups_insert on groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","groups_select on groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","groups_update on groups"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","matches_delete on matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","matches_insert on matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","matches_select on matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","matches_update on matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","teams_delete on teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","teams_insert on teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","teams_select on teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","policy","teams_update on teams"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","trigger","trg_audit_matches_v4"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v4.sql","trigger","trg_auto_assign_event_after_insert"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v5_tournament_manager.sql","function","create_event_admin_tournament"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\enterprise_v5_tournament_manager.sql","index","idx_tournament_slug_unique"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\final_architecture_updates.sql","drop","policy:if"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\final_architecture_updates.sql","drop","trigger:trg_audit_matches"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\final_architecture_updates.sql","function","audit_matches_changes"
